idle_rpm,max_rpm,gear,max_gears,rpm,turbo,turboMax,input_throttle,input_brake,input_clutch,input_parkingBrake,input_steeringPercent,accY,pitchPos,wheel_speed_fl,wheel_speed_fr,wheel_speed_rl,wheel_speed_rr,suspension_position_fl,suspension_position_fr,suspension_position_rl,suspension_position_rr
1000.0,8000.0,1,3,3965.95,6.04,40.01,1.0,0.0,0.0,0.0,-0.0,0.04,-0.92,0.1,0.07,0.06,0.02,1.62,1.63,1.32,1.38
1000.0,8000.0,1,3,3941.35,6.05,40.01,1.0,0.0,0.0,0.0,-0.0,0.04,-0.92,0.09,0.09,0.02,0.06,1.62,1.63,1.32,1.38
1000.0,8000.0,1,3,3877.91,6.03,40.01,1.0,0.0,0.0,0.0,-0.0,0.04,-0.92,0.12,0.11,0.01,0.08,1.61,1.63,1.31,1.38
1000.0,8000.0,1,3,3877.91,6.03,40.01,1.0,0.0,0.0,0.0,-0.0,0.04,-0.93,0.11,0.13,0.02,0.06,1.61,1.63,1.32,1.38
1000.0,8000.0,1,3,3834.61,5.99,40.01,1.0,0.0,0.0,0.0,-0.0,0.04,-0.93,0.09,0.13,0.02,0.06,1.61,1.63,1.32,1.38
1000.0,8000.0,1,3,3815.64,5.96,40.01,1.0,0.0,0.0,0.0,-0.0,0.04,-0.93,0.06,0.17,0.02,0.06,1.61,1.62,1.32,1.37
1000.0,8000.0,1,3,3814.46,5.95,40.01,1.0,0.0,0.0,0.0,-0.0,0.04,-0.94,0.1,0.16,0.04,0.05,1.62,1.62,1.32,1.37
1000.0,8000.0,1,3,3826.08,5.97,40.01,1.0,0.0,0.0,0.0,-0.0,0.04,-0.94,0.17,0.11,0.02,0.09,1.62,1.61,1.33,1.37
1000.0,8000.0,1,3,3846.58,5.98,40.01,1.0,0.0,0.0,0.0,-0.0,0.04,-0.95,0.16,0.1,0.01,0.11,1.63,1.61,1.33,1.36
1000.0,8000.0,1,3,3872.91,6.0,40.01,1.0,0.0,0.0,0.0,-0.0,0.04,-0.95,0.13,0.16,0.03,0.08,1.63,1.61,1.33,1.36
1000.0,8000.0,1,3,3902.85,6.02,40.01,1.0,0.0,0.0,0.0,-0.0,0.04,-0.96,0.17,0.15,0.06,0.03,1.63,1.61,1.33,1.36
1000.0,8000.0,1,3,3902.85,6.02,40.01,1.0,0.0,0.0,0.0,-0.0,0.04,-0.97,0.19,0.11,0.08,0.0,1.64,1.61,1.33,1.36
1000.0,8000.0,1,3,3934.44,6.03,40.01,1.0,0.0,0.0,0.0,-0.0,0.04,-0.97,0.21,0.13,0.09,0.0,1.64,1.62,1.34,1.36
1000.0,8000.0,1,3,3965.2,6.04,40.01,1.0,0.0,0.0,0.0,-0.0,0.03,-0.98,0.21,0.13,0.08,0.03,1.64,1.62,1.34,1.36
1000.0,8000.0,1,3,3940.93,6.05,40.01,1.0,0.0,0.0,0.0,-0.0,0.03,-0.98,0.18,0.12,0.05,0.06,1.64,1.63,1.34,1.36
1000.0,8000.0,1,3,3877.72,6.05,40.01,1.0,0.0,0.0,0.0,-0.0,0.03,-0.99,0.18,0.1,0.06,0.04,1.64,1.63,1.34,1.36
1000.0,8000.0,1,3,3835.22,6.01,40.01,1.0,0.0,0.0,0.0,-0.0,0.03,-0.99,0.14,0.14,0.04,0.02,1.64,1.63,1.34,1.36
1000.0,8000.0,1,3,3817.57,5.97,40.01,1.0,0.0,0.0,0.0,-0.0,0.02,-1.0,0.06,0.15,0.02,0.03,1.65,1.63,1.35,1.36
1000.0,8000.0,1,3,3817.57,5.97,40.01,1.0,0.0,0.0,0.0,-0.0,0.02,-1.0,0.09,0.15,0.01,0.04,1.66,1.63,1.36,1.36
1000.0,8000.0,1,3,3817.86,5.96,40.01,1.0,0.0,0.0,0.0,-0.0,0.02,-1.0,0.1,0.14,0.01,0.05,1.66,1.63,1.36,1.36
1000.0,8000.0,1,3,3830.98,5.97,40.01,1.0,0.0,0.0,0.0,-0.0,0.01,-1.01,0.14,0.08,0.01,0.09,1.67,1.63,1.36,1.35
1000.0,8000.0,1,3,3852.9,5.99,40.01,1.0,0.0,0.0,0.0,-0.0,0.01,-1.01,0.08,0.08,0.0,0.07,1.67,1.62,1.36,1.35
1000.0,8000.0,1,3,3880.92,6.01,40.01,1.0,0.0,0.0,0.0,-0.0,0.01,-1.02,0.06,0.12,0.01,0.02,1.68,1.62,1.37,1.35
1000.0,8000.0,1,3,3912.59,6.03,40.01,1.0,0.0,0.0,0.0,-0.0,0.01,-1.03,0.08,0.1,0.05,0.01,1.68,1.63,1.37,1.35
1000.0,8000.0,1,3,3912.59,6.03,40.01,1.0,0.0,0.0,0.0,-0.0,0.0,-1.03,0.1,0.06,0.04,0.01,1.68,1.63,1.37,1.35
1000.0,8000.0,1,3,3945.45,6.04,40.01,1.0,0.0,0.0,0.0,-0.0,0.0,-1.03,0.1,0.06,0.03,0.0,1.67,1.64,1.37,1.36
1000.0,8000.0,1,3,3959.15,6.05,40.01,1.0,0.0,0.0,0.0,-0.0,-0.0,-1.03,0.08,0.05,0.0,0.03,1.67,1.65,1.38,1.36
1000.0,8000.0,1,3,3903.49,6.05,40.01,1.0,0.0,0.0,0.0,-0.0,-0.0,-1.03,0.03,0.02,0.0,0.03,1.66,1.66,1.38,1.36
1000.0,8000.0,1,3,3850.0,6.01,40.01,1.0,0.0,0.0,0.0,-0.0,-0.01,-1.03,0.02,0.03,0.0,0.01,1.66,1.66,1.38,1.37
1000.0,8000.0,1,3,3824.56,5.97,40.01,1.0,0.0,0.0,0.0,-0.0,-0.01,-1.04,0.06,0.09,0.0,0.0,1.66,1.66,1.38,1.37
1000.0,8000.0,1,3,3819.2,5.96,40.01,1.0,0.0,0.0,0.0,-0.0,-0.01,-1.03,0.09,0.07,0.0,0.0,1.66,1.66,1.38,1.37
1000.0,8000.0,1,3,3828.89,5.96,40.01,1.0,0.0,0.0,0.0,-0.0,-0.01,-1.03,0.0,0.0,0.03,0.02,1.67,1.65,1.38,1.37
1000.0,8000.0,1,3,3828.89,5.96,40.01,1.0,0.0,0.0,0.0,-0.0,-0.02,-1.03,0.01,0.02,0.06,0.06,1.67,1.65,1.38,1.37
1000.0,8000.0,1,3,3849.0,5.98,40.01,1.0,0.0,0.0,0.0,-0.0,-0.02,-1.03,0.07,0.02,0.06,0.05,1.67,1.65,1.38,1.37
1000.0,8000.0,1,3,3875.47,6.0,40.01,1.0,0.0,0.0,0.0,-0.01,-0.02,-1.02,0.07,0.01,0.03,0.01,1.67,1.65,1.38,1.38
1000.0,8000.0,1,3,3906.17,6.02,40.01,1.0,0.0,0.0,0.0,-0.01,-0.02,-1.02,0.03,0.02,0.01,0.04,1.67,1.65,1.38,1.38
